month,net,balance,trades
2024-06,12.91,212.91,1
2024-07,357.94,570.85,6
2024-08,10.2,581.05,6
2024-09,28.87,609.92,5
2024-10,83.62,693.55,1
2024-11,-18.06,675.48,3
2024-12,30.09,705.58,3
2025-01,364.17,1069.75,13
2025-02,370.71,1440.46,1
2025-03,248.17,1688.64,3
2025-04,436.65,2125.28,2
2025-05,21.18,2146.46,6
2025-06,503.47,2649.93,3
2025-07,2.62,2652.56,6
2025-08,1248.51,3901.06,7
2025-09,51.91,3952.97,4
2025-10,183.83,4136.8,5
2025-11,566.33,4703.13,6
2025-12,1625.89,6329.03,5
2026-01,338.16,6667.19,12
2026-02,240.86,6908.05,7
2026-03,406.73,7314.78,1
2026-04,349.38,7664.16,7
2026-05,-48.9,7615.27,4
