month,net,balance,trades
2024-06,32.27,232.27,1
2024-07,325.48,557.74,7
2024-08,30.59,588.34,5
2024-09,82.63,670.97,6
2024-10,141.79,812.76,1
2024-11,-53.86,758.9,3
2024-12,193.64,952.53,1
2025-01,-118.25,834.28,5
2025-02,267.74,1102.02,1
2025-03,634.29,1736.31,7
2025-04,436.65,2172.95,2
2025-05,19.62,2192.58,7
2025-06,998.96,3191.54,3
2025-07,463.77,3655.31,5
2025-08,1677.31,5332.62,7
2025-09,71.72,5404.34,4
2025-10,-20.7,5383.64,6
2025-11,618.1,6001.74,3
2025-12,1614.69,7616.43,5
2026-01,354.42,7970.85,12
2026-02,158.55,8129.4,7
2026-03,223.7,8353.1,1
2026-04,1766.17,10119.28,15
2026-05,-1050.99,9068.28,16
